id,gameId,teamId,participantId,profileIcon,summonerName,championId,highestAchievedSeasonTier,spell1Id,spell2Id,assists,champLevel,combatPlayerScore,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,lane,role
1260196,1260092,100,4,21,ITZ micaO,96,UNRANKED,4,7,4,18,0,3,0,0,0,0,0,0,0,22900,27300,0,3072,3031,3153,3036,1308,3085,3363,1,3,1037,2,1,00:30:53,100113,10107,13845,41,4,37,0,0,406903,16750,13458,0,0,516624,29457,27948,7650,530,0,0,00:40:15,4,0,9606,2598,644,2,0,2,20,26,0,BOTTOM,DUO_CARRY
1260197,1260092,100,5,10,ITZ Jockster,40,UNRANKED,4,3,7,17,0,5,0,0,0,0,0,0,0,13598,12300,0,2301,3222,3512,2043,1307,3504,3364,0,0,0,0,0,00:20:06,8516,1555,8946,1,0,1,0,0,6188,573,9476,0,0,14705,2128,18754,6352,41,0,0,00:01:54,7,0,0,0,332,0,0,18,12,60,0,BOTTOM,DUO_SUPPORT
1260211,1260110,100,1,7,OPK SkyBart,78,UNRANKED,12,4,6,18,0,4,0,0,0,1,0,0,0,23834,25830,0,1308,3075,3143,3053,3025,3065,3363,1,5,0,2,1,00:31:15,111563,9205,26464,19,17,2,0,0,284852,18839,35034,0,0,402673,28157,64718,20738,448,0,0,02:04:37,1,0,6257,112,3219,5,0,2,13,25,1,TOP,SOLO
1260212,1260110,100,2,7,OPK Zuao,79,UNRANKED,11,4,13,18,0,3,0,0,1,0,1,1,0,21742,17350,1,3102,3742,1333,1410,3512,3075,3364,0,1,571,0,1,00:40:31,242422,23659,29339,140,20,120,0,0,47137,1723,31859,0,0,325422,25703,62626,31332,170,0,0,00:20:13,1,0,35863,320,1427,1,0,6,28,39,1,JUNGLE,NONE
1260213,1260110,100,3,7,OPK Goku,26,UNRANKED,12,4,6,18,0,5,0,0,0,1,0,0,0,22439,25825,0,3027,3089,3165,3001,1333,3135,3363,1,7,0,5,1,00:25:01,404172,33788,20611,26,8,18,0,0,42722,1004,16080,0,0,450645,35317,38465,12900,436,0,0,00:07:13,1,0,3750,525,1773,1,0,3,25,31,1,MIDDLE,SOLO
1260214,1260110,100,4,7,OPK Theusma,236,UNRANKED,7,4,7,18,0,4,1,0,0,1,0,0,0,22355,20125,2,3139,1330,3031,3094,3508,3156,3363,1,3,1001,2,2,00:34:29,28370,3541,9690,25,5,20,0,0,407451,25776,17991,0,0,439836,31238,28626,6262,433,0,0,00:06:03,4,0,4016,1920,944,2,0,3,18,32,1,BOTTOM,DUO_CARRY
1260215,1260110,100,5,7,OPK Professor,201,UNRANKED,4,3,10,17,0,5,0,0,0,1,0,1,0,17933,17800,0,3512,1308,2303,3190,3075,3110,3364,0,1,0,0,1,00:28:35,22273,13819,22863,1,1,0,0,0,11011,877,21320,0,0,41337,14877,46165,7119,157,0,0,00:27:53,4,0,8052,180,1981,0,0,16,31,85,1,BOTTOM,DUO_SUPPORT
1260232,1260131,100,1,657,RED Ayel,111,UNRANKED,4,12,10,18,0,4,0,0,0,0,0,0,1,16062,14625,0,3060,3512,3025,1031,3065,1333,3340,0,1,0,0,1,00:16:26,134340,7409,9535,17,2,15,0,0,42046,1675,8498,0,0,176587,9284,19552,1227,303,0,0,00:18:55,1,0,200,200,1518,1,0,5,4,24,0,JUNGLE,NONE
1260233,1260131,100,2,657,RED Caos,421,UNRANKED,4,11,9,16,0,2,0,0,0,0,0,0,0,15712,15050,0,1409,3742,3512,1306,3065,1011,3364,0,1,0,0,1,00:39:09,42969,3626,12926,98,16,82,0,0,83339,2813,23325,0,0,151074,6439,37512,15114,139,0,0,00:07:40,1,0,24764,0,1260,1,0,7,45,39,0,JUNGLE,NONE
1260234,1260131,100,3,657,RED Brucer,103,UNRANKED,4,14,5,18,0,3,1,0,1,0,0,0,0,19379,18500,0,3157,3020,3285,3089,3165,3116,3363,1,6,0,5,2,00:22:23,221295,15010,9169,41,0,41,0,0,29862,1048,9195,0,0,359314,24390,18778,5994,399,0,0,00:02:37,1,0,108157,8331,414,1,0,4,7,23,0,MIDDLE,SOLO
