id,gameId,teamId,championIdBan1,championIdBan2,championIdBan3,towerKills,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,vilemawKills,win
1420486,1420286,200,34,8,143,10,1,0,3,1,1,1,1,1,1,2,1,0,Win
1420493,1420293,200,50,201,39,7,2,0,3,0,1,1,1,0,0,1,0,0,Fail
1420506,1420306,200,50,203,29,2,0,0,1,0,0,1,0,0,1,0,0,0,Fail
1420511,1420311,200,60,76,432,1,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1430122,1430022,100,26,8,50,10,1,0,5,1,0,1,1,1,0,2,1,0,Win
1430124,1430024,100,26,8,50,10,2,0,6,1,1,0,1,0,1,5,0,0,Win
1430222,1430022,200,268,39,201,3,0,0,1,0,1,0,0,0,1,0,0,0,Fail
1430224,1430024,200,268,201,39,7,1,0,1,0,0,1,0,0,0,0,0,0,Fail
1440157,1440057,100,26,201,8,3,0,0,1,0,0,1,0,1,1,0,1,0,Fail
1440160,1440060,100,26,432,8,9,1,0,4,0,1,0,1,0,0,2,0,0,Win
1440162,1440062,100,26,432,8,3,0,0,0,0,1,0,0,0,0,0,0,0,Fail
1440163,1440063,100,15,48,13,9,1,0,4,1,1,1,1,0,1,1,0,0,Win
1440181,1440081,100,15,48,432,11,1,0,4,1,0,1,1,0,0,3,0,0,Win
1440183,1440083,100,15,48,432,10,1,0,3,1,0,0,1,1,0,2,1,0,Win
1440185,1440085,100,60,39,50,8,0,0,4,0,0,0,0,0,0,2,0,0,Win
1440186,1440086,100,39,60,50,10,1,0,1,1,0,0,1,1,1,3,1,0,Win
1440187,1440087,100,15,43,202,11,2,0,3,1,1,1,1,1,1,4,1,0,Win
1440257,1440057,200,15,48,50,9,1,0,3,1,1,0,1,0,0,1,0,0,Win
1440260,1440060,200,15,48,50,5,1,0,1,1,0,1,0,0,1,0,0,0,Fail
1440262,1440062,200,15,48,13,10,1,0,3,1,0,1,1,1,1,1,1,0,Win
1440263,1440063,200,26,432,268,1,0,0,0,0,0,0,0,1,0,0,1,0,Fail
1440281,1440081,200,4,60,8,2,0,0,1,0,1,0,0,0,1,0,0,0,Fail
1440283,1440083,200,4,60,201,1,0,0,1,0,1,1,0,0,1,0,0,0,Fail
1440285,1440085,200,15,432,8,7,1,0,2,1,1,1,1,1,1,1,1,0,Fail
1440286,1440086,200,15,8,432,3,0,0,4,0,1,1,0,0,0,0,0,0,Fail
1440287,1440087,200,39,50,8,1,0,0,0,0,0,0,0,0,0,0,0,0,Fail
